SponsorID|SponsorTypes|SponsorName
GM0005305|A|NATL INST OF BUILDING SCIENCES
GM0005306|F|AGRICULTURAL RESEARCH FOU
GM0005307|C|NEW HOPE POWER COMPANY
GM0005308|U|BALL STATE UNIVERSITY
GM0005309|C|BIRD DOG EXPRESS
GM0005310|A|GATOR EXCHANGE CLUB
GM0005311|A|AMER SOC OF HUMAN GENETICS
GM0005312|C|SUNOVION PHARMACEUTICALS
GM0005313|C|FLORIDA PROBE
GM0005314|RI|RES INST OF INDUSTRIAL SCIENCE & TECHNOL
GM0005315|A|AMERICAN COUNCILS FOR INTL EDUCATION
GM0005316|F|IRVING I MOSKOWITZ FOU 
GM0005317|F|EASTON FOUNDATIONS
GM0005318|A|AMER ASSO FOR  LAB ANIMAL SCIENCE
GM0005319|C|SINGHOFEN AND ASSOCIATES
GM0005320|F|HEMOPHILA FOU OF GREATER FLORIDA
GM0005321|C|EPIMATERIALS
GM0005322|A|HERB SOCIETY OF AMERICA
GM0005323|A|MUSHROOM COUNCIL
GM0005324|C|AGC ESTATAL CONSEJO SUP INVEST CIENTIFIC
GM0005325|C|ADVANCED SOLAR PHOTONICS
GM0005326|C|NANOHYGIENIX
GM0005327|F|EDYTH BUSH CHARITABLE FOU
GM0005328|A|CACTUS & SUCCULENT SOCIETY OF AM
GM0005329|GI|FL INST FOR THE COMMERC OF PUBLIC RES
GM0005330|U|WICHITA STATE UNIVERSITY
GM0005331|RA|GULF OF MEXICO RESEARCH  INITIATIVE
GM0005332|G|SEC ESTADO DEPACHOS PUEBLOS IND Y AFROHO
GM0005333|C|DTER TECH
GM0005334|C|BIOMET MICROFIXATION
GM0005335|F|SIMONS FOUNDATION
GM0005336|C|DELTA R DETECTION
GM0005337|A|BOTANICAL SOCIETY OF AMERICA
GM0005338|RI|UF CLINICAL & TRANSLATIONAL SCIENCE INST
GM0005339|C|WFR AQUAPLAST/QFIX SYSTEMS
GM0005340|C|GUILD ASSOCIATES
GM0005341|IR|BRIEN HOLDEN VISION INSTITUTE
GM0005342|C|SHELL INTERNATIONAL EXPLORATION & PRODUCTION
GM0005343|C|PINNEY ASSOCIATES
GM0005344|C|VIDACARE CORPORATION
GM0005345|C|VERIS TECHNOLOGIES
GM0005346|C|MPEX PHARMACEUTICALS
GM0005347|G|FLORIDA HEALTH CHOICES
GM0005348|A|BONEFISH & TARPON TRUST
GM0005349|C|GIDEL
GM0005350|C|SAMSUNG THALES CO
GM0005351|A|NATL COUNCIL OF STATE BOARDS OF NURSING
GM0005352|F|JOHN A HARTFORD FOU
GM0005353|A|BUILDING ACAD GERIATRIC NURSING CAPACITY
GM0005354|GR|BIOMEDICAL ADVANCED RES & DEVLPMT AUTHORITY
GM0005355|A|CURESEARCH FOR CHILDREN'S CANCER
GM0005356|C|DAH TECH
GM0005357|C|JR SIMPLOT COMPANY
GM0005358|IR|INST FOR MARINE MAMMAL STUDIES
GM0005359|C|CRYOLIFE
GM0005360|C|EISAI
GM0005361|L|MIRIAM HOSPITAL
GM0005362|G|CENTRAL FL REG PLANNING CNCL
GM0005363|G|OFFICE OF THE DIRECTOR OF NAT INTEL
GM0005364|G|INTELLIGENCE ADV RES PROJECTS ACTIVITY
GM0005365|S|JOHNS HOPKINS BLOOMBERG SCHOOL PUB HLTH
GM0005366|C|ACORDA THERAPEUTICS
GM0005367|C|ASCEND PERFORMANCE MATERIALS
GM0005368|U|UNIVERSITY OF OTTAWA
GM0005369|C|NIELSEN COMPANY
GM0005370|R|FL CTR FOR BRAIN TUMOR RES
GM0005371|C|EXELON
GM0005372|C|PHYTOPHARM PLC
GM0005373|C|AURIS MEDICAL
GM0005374|C|SANDVIK GROUP
GM0005375|C|SANDVIK MINING & CONSTRUCTION
GM0005376|C|ENCELL TECHNOLOGY
GM0005377|C|ADVANCED PLASMONICS
GM0005378|A|SOC FOR CARD ANGIO & INTERVENTION
GM0005379|F|KECK FOUNDATION|C| W.M.
GM0005380|C|JANSSEN SERVICES
GM0005381|F|THE FOU FOR THE NATL INST OF HEALTH
GM0005382|C|DAYTON T. BROWN INC
GM0005383|I|INTERNATIONAL INSTITUTE OF ST. LOUIS
GM0005384|C|THE AXIS GROUP INC
GM0005385|R|SOUTHERN CALIF COASTAL WATER RES PROJ
GM0005386|C|NETSCIENTIFIC LIMITED
GM0005387|C|ATOX BIO LTD
GM0005388|C|ELSEVIER INC
GM0005389|A|SOCIETY OF CRITICAL CARE MEDICINE
GM0005390|C|SOUTHERN GARDENS CITRUS NURSERY
GM0005391|C|NANOCANOPY LLC
GM0005392|C|MAXIM INTEGRATED PRODUCTS INC
GM0005393|G|US GOVERNMENT
GM0005394|C|ENTERADE USA
GM0005395|A|NATIONAL LUNG CANCER PARTNERSHIP
GM0005396|A|CONSERVATION TRUST FOR FLORIDA
GM0005397|A|SEA TURTLE CONSERVANCY
GM0005398|C|FACEBOOK
GM0005399|C|EVOLVA SA
GM0005400|RF|BRAIN & BEHAVIOR RESEARCH FOUNDATION
GM0005401|C|TELEFLEX MEDICAL
GM0005402|C|ECLIPSE ENERGY SYSTEMS
GM0005403|C|QUESTEK INNOVATIONS
GM0005404|IR|INTERNATIONAL VACCINE INSTITUTE
GM0005405|G|NATURAL SCIENCES & ENG RES CNCL OF CANAD
GM0005406|C|OTSUKA MARYLAND MEDICINAL LAB
GM0005407|C|ACID MALTASE DEFICIENCY ASSO
GM0005408|U|HEBREW UNIVERSITY OF JERUSALEM
GM0005409|A|CNCL FOR ECONOMIC EDUCATION
GM0005410|C|CELLERATION
GM0005411|AR|CLINTON HEALTH ACCESS INITIATIVE
GM0005412|C|NEUROPHAGE PHARMACEUTICALS
GM0005413|A|ASSOC FOR FINANCIAL COUNSELING PLAN ED
GM0005414|C|GEOSPIDER
GM0005415|G|FL DPT OF AG & CONS SER OFFICE OF ENERGY
GM0005416|A|AMER COLL OF RADIOLOGY IMAGING NETWORK
GM0005417|F|THE KEEP A BREAST FOUNDATION
GM0005418|C|MICROVISK TECHNOLOGIES
GM0005419|G|SWISS TROPICAL & PUBLIC HEALTH INSTITUTE
GM0005420|C|HOLLISTER
GM0005421|R|FACULTE DE MEDECINE
GM0005422|C|SMARTTOTS
GM0005423|C|MEDLINE INDUSTRIES
GM0005424|C|LEAD21
GM0005425|A|UNITED LAUNCH ALLIANCE
GM0005426|A|SOC OF ADOLESCENT HEALTH & MEDICINE
GM0005427|RI|PATIENT-CENTERED OUTCOMES RES INST
GM0005428|F|MIGRAINE RESEARCH FOU
GM0005429|U|BUCKNELL UNIVERSITY
GM0005430|AR|NATL ESTUARINE RES RESERVE SYSTEM SCIENC
GM0005431|A|ASSO MIDI PYRENEES SANTE
GM0005432|C|NOETIC DEVELOPMENTS
GM0005433|C|NOVARIALS
GM0005434|C|AQUILUS PHARMACEUTICALS
GM0005435|C|ETECT
GM0005436|C|VALSPAR
GM0005437|C|MYELORX
GM0005438|C|NEYA SYSTEMS
GM0005439|C|ADVANCED GREEN INNOVATIONS
GM0005440|C|DNA GENOTEK
GM0005441|GRI|NATL INST ADVANCED INDUST SCIENCE & TECH
GM0005442|A|AMER PARTNERSHIP EOSINOPHILIC DISORDERS
GM0005443|G|FL MEDICAL QUALITY ASSURANCE
GM0005444|C|ORGAN RECOVERY SYSTEMS
GM0005445|C|SYMBIOTIX
GM0005446|C|IMMUNOGEN|C| INC
GM0005447|GRI|LAWRENCE BERKELEY NAT LABORATORY
GM0005448|A|SOC FOR WOMEN'S HEALTH RESEARCH
GM0005449|F|METLIFE FOU
GM0005450|U|UNIVERSITY OF DAYTON
GM0005451|C|MILLENNIUM ENGINEERING & INTEGRATION
GM0005452|C|MDS COATING TECHNOLOGIES
GM0005453|C|MATHWORKS
GM0005454|C|KADMON
GM0005455|GIR|NATL INST FOR AEROSPACE TECHNOLOGY
GM0005456|C|NORMANDEAU ASSOCIATES
GM0005457|F|WEEDEN FOUNDATION
GM0005458|A|SARCOMA ALLIANCE  RES THROUGH COLLABORAT
GM0005459|C|AOSPINE NORTH AMERICA
GM0005460|IR|MORGRIDGE INSTITUTE FOR RESEARCH
GM0005461|C|NEUMEDICINES
GM0005462|C|DEUTSCHE GESELLSCHAFT FUR INTL ZUSAMMENA
GM0005463|C|APTALIS PHARMACEUTICALS
GM0005464|C|SENSOPATH TECHNOLOGIES
GM0005465|RF|FL STRAWBERRY RESEARCH & EDUCATION FOU
GM0005466|A|PARTNERSHIP FOR CLEAN COMPETITION
GM0005467|G|FEFA
GM0005468|C|VIRTUAL EM
GM0005469|C|TEIJIN CHEMICALS
GM0005470|C|FACIAL CONCEPTS
GM0005471|A|LIFELINK TISSUE BANK
GM0005472|GR|NATL RADIO ASTRONOMY OBSERVATORY
GM0005473|C|CEREXA
GM0005474|A|MISSISSIPPI-ALABAMA SEA GRANT CONSORTIUM
GM0005475|C|CAREFUSION
GM0005476|A|SOC FOR SURGERY OF THE ALIMENTARY TRACT
GM0005477|C|FUNDECITRUS
GM0005478|G|INDIAN RIVER CNTY HEALTH DEPT
GM0005479|A|INTL TROPICAL TIMBER ORGANIZATION
GM0005480|C|HESIOD & ASSOCIATES
GM0005481|G|TAMPA BAY REGIONAL PLANNING CNCL
GM0005482|F|AO FOUNDATION
GM0005483|C|EMC CORPORATION
GM0005484|C|GREENPLUM
GM0005485|I|ISLAND INSTITUTE
GM0005486|C|AMORCYTE
GM0005487|C|CONAGRA FOODS
GM0005488|ARF|ARTHRITIS NATL  RESEARCH FOU
GM0005489|C|MILLAN & ASSOCIATES
GM0005490|C|NUTRISYSTEM
GM0005491|C|ASTROWATT
GM0005492|G|WAKULLA COUNTY
GM0005493|G|WAKULLA CNTY TOURISM DEVELOPMENT CNCL
GM0005494|F|FONDAZIONE CENTRO S RAFFAELE DEL MONTE T
GM0005495|A|COALITION FOR URBAN/RURAL ENVRN STEWARDS
GM0005496|A|VIVA HEALTHCARE ALLIANCE
GM0005497|C|CYTOPHERX
GM0005498|A|AMERICAN DENTAL EDUCATION ASSN
GM0005499|C|NORTH FL RETIREMENT VILLAGE
GM0005500|C|TORAY INDUSTRIES
GM0005501|U|NORWEGIAN SCHOOL OF VETERINARY SCIENCE
GM0005502|F|MARY KAY FOUNDATION
GM0005503|F|PENNINGTON BIOMEDICAL RESEARCH FOU
GM0005504|C|DISCOVERY LIFE SCIENCES
GM0005505|U|SUNY KOREA
GM0005506|R|GERMAN HEART CENTRE
GM0005507|A|NEIGHBORWORKS AMERICA
GM0005508|F|SHULA FOUNDATION
GM0005509|U|UNIV FEDERAL DO RIO GRANDE DO NORTE
GM0005510|A|GYNECOLOGIC ONCOLOGY GROUP
GM0005511|I|CRANBERRY INSTITUTE
GM0005512|U|HANYANG UNIVERSITY
GM0005513|C|MITSUBISHI CHEMICAL HOLDINGS CORP
GM0005514|C|MITSUBISHI PLASTICS
GM0005515|F|CURE TAY-SACHS FOUNDATION
GM0005516|A|CANADIAN MPS SOCIETY
GM0005517|C|SOD SOLUTIONS
GM0005518|F|CHIARI & SYRINGOMYELIA FOU
GM0005519|C|CTR FOR INTEGRATION MED & INNOVATIVE TEC
GM0005520|C|MEDACTA INTERNATIONAL SA
GM0005521|F|TAIWAN FOU FOR RARE DISORDERS
GM0005522|A|SOUTHERN GROUP OF STATE FORESTERS
GM0005523|G|COMMONWEALTH OF VIRGINIA DEPT OF FORESTR
GM0005524|C|PLX PHARMA
GM0005525|C|ASMACURE LTEE
GM0005526|C|SILICON MECHANICS
GM0005527|C|SURVEY MONKEY
GM0005528|F|THE WETLAND FOUNDATION
GM0005529|C|CORINTHIAN OPHTHALMIC
GM0005530|C|RETROSENSE THERAPEUTICS
GM0005531|C|SK BIOPHARMACEUTICALS
GM0005532|L|TEXAS CHILDREN'S HOSPITAL
GM0005533|C|WALGREENS
GM0005534|F|RUAF FOUNDATION
GM0005535|GIR|OFFICE OF THE DIRECTOR NATL INST OF HLTH
GM0005536|C|VALLEY FEVER SOLUTIONS
GM0005537|C|DIFFERENTIAL DIAGNOSTICS
GM0005538|F|MARTIN & MIRASH IVANAJ FOU
GM0005539|U|ALGOMA UNIVERSITY
GM0005540|C|PARKINSON STUDY GROUP
GM0005541|C|WEDEVEN ASSOCIATES
GM0005542|A|AM ASSO OF COLLEGES OF NURSING
GM0005543|R|JONAS CTR FOR NURSING EXCELLENCE
GM0005544|F|FISHERY & AQUACULTURE INDUSTRY RES  FUND
GM0005545|C|DESIGN INTERACTIONS
GM0005546|C|COVAR APPLIED TECHNOLOGIES
GM0005547|C|JHP PHARMACEUTICALS
GM0005548|C|BACARDI
GM0005549|R|BEHAVIORAL HLTH SYSTEMS RESEARCH
GM0005550|C|HIGHLANDS ETHANOL
GM0005551|A|ORAL HEALTH AMERICA
GM0005552|G|COMMONWEALTH OF VIRGINIA
GM0005553|G|THE FLORIDA AQUARIUM
GM0005554|C|COLBY PHARMACEUTICAS
GM0005555|C|COVITECT
GM0005556|C|DEFENSE ELECTRONICS CORPORATION
GM0005557|C|TARGET HEALTH
GM0005558|G|BUREAU OF EDUCATIONAL & CULTURAL AFFAIRS
GM0005559|G|CITY OF CRESCENT CITY
GM0005560|A|GLOBAL ALLIANCE PREVENT PREMATURITY & ST
GM0005561|C|AVI BIOPHARMA
GM0005562|C|INTELLICELL BIOSCIENCES
GM0005563|A|SIGMA THETA TAU ALPHA THETA CHAPTER
GM0005564|C|SANTHERA PHARMACEUTICALS
GM0005565|C|WINTEK CORPORATION
GM0005566|R|FEINSTEIN INSTITUTION FOR MEDICAL RES
GM0005567|C|DIFFUSION PHARMACEUTICALS
GM0005568|R|PEDIATRIC RES IN INPATIENT SETTINGS
GM0005569|RI|RADIATION ONCOLOGY INSTITUTE
GM0005570|C|SEAGATE TECHNOLOGY
GM0005571|A|GULF OF MEXICO ALLIANCE
GM0005572|U|UNIVERSITY OF BERGEN
GM0005573|C|LUIS CANTU
GM0005574|C|ADVENTRX PHARMACEUTICALS, INC.
GM0005575|U|UNIVERSITY OF TOULOUSE
GM0005576|C|ALVEOLOGIC
GM0005577|C|TEC-MASTERS
GM0005578|C|INDEWATER
GM0005579|C|UCB BIOSCIENCES
GM0005580|C|OXAGEN
GM0005581|F|SILICON VALLEY COMMUNITY FOU
GM0005582|C|INSMED
GM0005583|C|ECHELON BIOSCIENCES
GM0005584|U|SEJONG UNIVERSITY
GM0005585|G|STATE OF NORTH CAROLINA
GM0005586|A|AMER SOC FOR  PREV CRUELTY TO ANIMALS
GM0005587|G|STATE OF NC DEPT OF TRANSPORTATION
GM0005588|A|COMM FOR ENVIRONM COOPERATION
